RefNames,DatasetRefNames,RefValues,PBE0,B3LYP
TAE_W4-17_1,TAE_W4-17,677.8500003,837.6133953,820.8038546
TAE_W4-17_2,TAE_W4-17,803.9700002,1032.514937,1007.127825
TAE_W4-17_3,TAE_W4-17,122.6200001,118.9324778,117.2357613
TAE_W4-17_4,TAE_W4-17,312.6400001,305.5034193,294.5123683
TAE_W4-17_5,TAE_W4-17,163.7900002,156.7466921,159.8881469
TAE_W4-17_6,TAE_W4-17,430.9599997,413.401626,416.9270338
TAE_W4-17_7,TAE_W4-17,73.57999977,68.91567123,72.94058916
TAE_W4-17_8,TAE_W4-17,213.1699999,205.2987786,212.8252572
TAE_W4-17_9,TAE_W4-17,704.0700001,845.0228629,827.1385433
TAE_W4-17_10,TAE_W4-17,766.8550002,908.9623139,890.3841933
TAE_W4-17_11,TAE_W4-17,67.46999986,40.21508594,38.73072796
TAE_W4-17_12,TAE_W4-17,607.0199997,607.6064238,609.838937
TAE_W4-17_13,TAE_W4-17,2.668999717,6.521033763,4.213097989
TAE_W4-17_14,TAE_W4-17,225.2739997,227.5931536,222.7850612
TAE_W4-17_15,TAE_W4-17,309.0990001,304.4481011,308.7158099
TAE_W4-17_16,TAE_W4-17,1368.8,1657.112104,1606.977024
TAE_W4-17_17,TAE_W4-17,993.8649998,1276.360156,1237.379991
TAE_W4-17_18,TAE_W4-17,182.5299999,179.6217475,180.2508492
TAE_W4-17_19,TAE_W4-17,470.96,466.238977,464.3482248
TAE_W4-17_20,TAE_W4-17,84.9799997,80.54469904,83.90632368
TAE_W4-17_21,TAE_W4-17,281.28,279.1563387,285.0778119
TAE_W4-17_22,TAE_W4-17,410.9600003,407.4388982,408.4907853
TAE_W4-17_23,TAE_W4-17,105.24,158.128278,155.5472116
TAE_W4-17_24,TAE_W4-17,105.8100003,155.0185667,152.5553651
TAE_W4-17_25,TAE_W4-17,1057.669,1248.949587,1214.668189
TAE_W4-17_26,TAE_W4-17,317.64,428.9516221,420.7694466
TAE_W4-17_27,TAE_W4-17,312.1700002,519.3137363,503.0066513
TAE_W4-17_28,TAE_W4-17,233.0700002,439.3094665,425.1714609
TAE_W4-17_29,TAE_W4-17,291.0800001,429.6542232,422.3692028
TAE_W4-17_30,TAE_W4-17,147.0299998,210.983099,201.3409984
TAE_W4-17_31,TAE_W4-17,350.5860002,448.275015,424.6592887
TAE_W4-17_32,TAE_W4-17,471.7599999,570.9492382,534.1802358
TAE_W4-17_33,TAE_W4-17,561.3050002,655.2370783,604.8174643
TAE_W4-17_34,TAE_W4-17,378.5159997,472.0857353,455.3585103
TAE_W4-17_35,TAE_W4-17,544.317,637.2070142,621.4845508
TAE_W4-17_36,TAE_W4-17,692.9129999,783.9473841,768.76462
TAE_W4-17_37,TAE_W4-17,590.0659998,687.0458729,665.1018131
TAE_W4-17_38,TAE_W4-17,791.9439998,883.8009634,855.4800947
TAE_W4-17_39,TAE_W4-17,405.5399998,494.7761858,484.9906014
TAE_W4-17_40,TAE_W4-17,573.8700001,665.8147288,653.8812895
TAE_W4-17_41,TAE_W4-17,564.0999999,654.2469207,645.1550903
TAE_W4-17_42,TAE_W4-17,721.4800001,811.3398496,800.2749762
TAE_W4-17_43,TAE_W4-17,713.0400003,802.510851,793.5132576
TAE_W4-17_44,TAE_W4-17,266.1699999,357.0748324,344.4885605
TAE_W4-17_45,TAE_W4-17,177.3199997,225.5899072,212.1806574
TAE_W4-17_46,TAE_W4-17,371.7009997,418.2553099,404.9331291
TAE_W4-17_47,TAE_W4-17,347.0850001,465.5723734,443.6797605
TAE_W4-17_48,TAE_W4-17,345.416,393.2432847,373.2546905
TAE_W4-17_49,TAE_W4-17,315.4190003,363.736863,336.8000159
TAE_W4-17_50,TAE_W4-17,396.0460001,440.7264242,433.7448953
TAE_W4-17_51,TAE_W4-17,132.7099959,179.9682002,174.6746427
TAE_W4-17_52,TAE_W4-17,258.7700003,303.581869,296.3080171
TAE_W4-17_53,TAE_W4-17,392.2369998,440.4032113,420.2878047
TAE_W4-17_54,TAE_W4-17,478.7400002,523.6822819,508.7860152
TAE_W4-17_55,TAE_W4-17,84.2199997,128.1790918,126.3473629
